"Uge";"Aldersgruppe";"Testede pr. 100.000 borgere";"Positive pr. 100.000 borgere";"Nyindlagte pr. 100.000 borgere";"Antal testede";"Antal positive"
2021-U17;20-39;24511;135;3,3;360126;1987
2021-U17;40-64;29477;92;5,5;557769;1742
2021-U17;65-79;10967;27;4,8;98297;244
2021-U17;80+;3457;7;3,5;9799;21
2021-U18;00-02;3909;54;0,5;7223;100
2021-U18;03-05;7715;72;0,0;14326;133
2021-U18;06-11;14693;118;0,3;54496;436
2021-U18;12-15;20119;136;0,0;54906;370
2021-U18;16-19;18671;298;0,4;50896;813
2021-U18;20-39;26220;161;3,2;385442;2365
2021-U18;40-64;32668;104;6,0;617900;1969
2021-U18;65-79;12446;30;3,9;111707;273
2021-U18;80+;3581;9;2,8;10200;27
2021-U19;00-02;3830;61;2,2;7078;112
2021-U19;03-05;8821;82;0,5;16378;152
2021-U19;06-11;16100;150;0,3;59714;558
2021-U19;12-15;21871;171;0,4;59686;468
2021-U19;16-19;22684;364;3,3;61835;992
2021-U19;20-39;25245;183;3,7;371109;2691
2021-U19;40-64;31526;105;6,3;596300;1994
2021-U19;65-79;11231;26;6,0;100805;230
2021-U19;80+;2781;9;2,8;7923;27
2021-U20;00-02;3244;54;4,3;5995;99
2021-U20;03-05;6991;72;0,0;12981;133
2021-U20;06-11;13033;101;0,5;48339;373
2021-U20;12-15;18106;150;0,4;49412;409
2021-U20;16-19;21618;357;0,7;58928;973
2021-U20;20-39;24861;186;3,5;365460;2732
2021-U20;40-64;30252;103;6,3;572208;1950
2021-U20;65-79;9258;22;1,9;83092;196
2021-U20;80+;2413;3;0,7;6875;9
2021-U21;00-02;3116;42;2,2;5759;78
2021-U21;03-05;6733;74;0,5;12501;137
2021-U21;06-11;12674;100;0,5;47006;371
2021-U21;12-15;18592;154;0,4;50739;420
2021-U21;16-19;18871;315;1,8;51442;859
2021-U21;20-39;22052;190;3,3;324164;2791
2021-U21;40-64;26173;102;5,8;495057;1934
2021-U21;65-79;5110;12;2,5;45869;106
2021-U21;80+;1910;7;2,1;5442;21
2021-U22;00-02;1496;22;1,1;5527;80
2021-U22;03-05;3435;23;0,3;12792;87
2021-U22;06-11;5814;55;0,0;43031;409
2021-U22;12-15;8483;75;0,4;46276;407
2021-U22;16-19;9290;154;0,6;50641;839
2021-U22;20-39;10282;80;1,6;302467;2339
2021-U22;40-64;11368;37;2,3;429978;1412
2021-U22;65-79;2115;5;0,8;38008;81
2021-U22;80+;938;4;1,6;5370;21
2021-U23;00-02;1070;11;1,1;3953;42
2021-U23;03-05;2420;12;0,0;9014;46
2021-U23;06-11;4394;25;0,1;32523;183
2021-U23;12-15;6812;34;0,7;37160;184
2021-U23;16-19;6870;58;0,7;37447;317
2021-U23;20-39;8723;44;1,0;256582;1288
2021-U23;40-64;8731;19;2,0;330232;711
2021-U23;65-79;1510;3;0,4;27142;45
2021-U23;80+;727;2;0,7;4159;12
2021-U24;00-02;769;8;0,3;2842;28
2021-U24;03-05;1860;9;0,0;6929;35
2021-U24;06-11;3439;16;0,1;25453;115
2021-U24;12-15;5464;18;0,2;29808;97
2021-U24;16-19;5332;33;0,6;29066;182
2021-U24;20-39;7562;26;0,9;222443;762
2021-U24;40-64;6570;11;1,0;248482;398
2021-U24;65-79;1129;1;0,4;20295;26
2021-U24;80+;581;2;1,2;3327;13
2021-U25;00-02;765;4;0,3;2828;15
2021-U25;03-05;1903;7;0,0;7088;25
2021-U25;06-11;3734;9;0,0;27635;70
2021-U25;12-15;5439;13;0,2;29671;69
2021-U25;16-19;4399;19;0,0;23979;103
2021-U25;20-39;7440;24;0,6;218862;716
2021-U25;40-64;5542;7;0,5;209599;282
2021-U25;65-79;1060;1;0,4;19047;18
2021-U25;80+;514;1;0,2;2940;4
2021-U26;00-02;1155;9;0,8;4268;34
2021-U26;03-05;3148;9;0,0;11723;32
2021-U26;06-11;4817;10;0,0;35653;74
2021-U26;12-15;7129;20;0,2;38890;109
2021-U26;16-19;7179;79;0,6;39130;433
2021-U26;20-39;8814;53;0,6;259271;1548
2021-U26;40-64;5829;11;0,2;220454;423
2021-U26;65-79;1134;2;0,1;20383;30
2021-U26;80+;588;1;0,5;3366;4
2021-U27;00-02;2297;21;1,1;4245;39
2021-U27;03-05;6099;31;0,0;11379;58
2021-U27;06-11;9639;37;0,3;35625;137
2021-U27;12-15;14859;80;0,4;40527;217
2021-U27;16-19;17464;225;0,7;47540;612
2021-U27;20-39;18479;191;2,2;271967;2812
2021-U27;40-64;11338;37;0,8;214406;699
2021-U27;65-79;2419;6;0,9;21756;58
2021-U27;80+;1317;4;1,0;3783;11
2021-U28;00-02;2072;38;2,7;3829;71
2021-U28;03-05;5550;56;1,1;10355;104
2021-U28;06-11;9018;57;0,3;33328;212
2021-U28;12-15;14289;110;0,0;38973;299
2021-U28;16-19;16556;324;0,4;45070;881
2021-U28;20-39;17822;294;3,6;262308;4332
2021-U28;40-64;10067;46;1,3;190372;874
2021-U28;65-79;2266;8;1,1;20381;71
2021-U28;80+;1477;8;1,4;4241;22
2021-U29;00-02;1410;37;1,1;2605;68
2021-U29;03-05;3776;55;0,0;7045;103
2021-U29;06-11;7199;78;0,0;26608;287
2021-U29;12-15;12084;130;0,4;32958;354
2021-U29;16-19;12675;233;1,5;34503;635
2021-U29;20-39;14494;205;3,4;213318;3019
2021-U29;40-64;8133;38;1,3;153791;711
2021-U29;65-79;2112;10;0,8;18997;89
2021-U29;80+;1430;12;3,8;4107;34
2021-U30;00-02;1170;41;2,2;2162;76
2021-U30;03-05;3289;80;0,0;6137;150
2021-U30;06-11;6157;113;0,5;22754;416
2021-U30;12-15;10111;152;0,4;27576;415
2021-U30;16-19;10671;263;0,4;29050;715
2021-U30;20-39;12559;232;3,3;184838;3409
2021-U30;40-64;7510;52;2,3;142009;983
2021-U30;65-79;2229;12;1,2;20043;110
2021-U30;80+;1549;9;2,1;4449;26
2021-U31;00-02;673;28;1,4;2488;103
2021-U31;03-05;1905;45;0,0;7122;167
2021-U31;06-11;3468;79;0,1;25600;585
2021-U31;12-15;5512;102;0,4;30056;555
2021-U31;16-19;4546;113;0,6;24732;616
2021-U31;20-39;5456;103;1,4;160712;3029
2021-U31;40-64;3711;31;1,2;140352;1157
2021-U31;65-79;1130;8;0,7;20351;145
2021-U31;80+;802;6;2,3;4625;36
2021-U32;00-02;1137;41;2,4;4205;153
2021-U32;03-05;2758;71;0,8;10312;265
2021-U32;06-11;3776;111;0,1;27869;817
2021-U32;12-15;4897;125;0,9;26704;682
2021-U32;16-19;3746;101;0,9;20379;548
2021-U32;20-39;5158;100;2,4;151930;2933
2021-U32;40-64;3631;34;1,7;137321;1288
2021-U32;65-79;1233;10;0,9;22210;172
2021-U32;80+;899;10;2,4;5181;56
2021-U33;00-02;1549;46;2,7;5727;170
2021-U33;03-05;4181;79;0,5;15633;296
2021-U33;06-11;6469;171;0,3;47749;1265
2021-U33;12-15;7118;144;0,4;38819;783
2021-U33;16-19;4840;82;1,3;26328;445
2021-U33;20-39;5111;80;2,5;150556;2349
2021-U33;40-64;4144;34;2,1;156739;1293
2021-U33;65-79;1338;13;1,8;24088;230
2021-U33;80+;887;12;2,4;5117;67
2021-U34;00-02;1819;38;1,4;6727;142
2021-U34;03-05;4662;68;0,0;17434;255
2021-U34;06-11;7683;177;0,3;56711;1305
2021-U34;12-15;7686;122;0,7;41916;667
2021-U34;16-19;4872;63;1,1;26505;342
2021-U34;20-39;4969;62;2,2;146376;1825
2021-U34;40-64;4583;37;1,5;173329;1395
2021-U34;65-79;1548;14;2,2;27874;259
2021-U34;80+;1022;13;4,0;5895;74
2021-U35;00-02;1425;18;0,8;5269;68
2021-U35;03-05;3257;44;0,3;12178;166
2021-U35;06-11;5031;116;0,1;37136;855
2021-U35;12-15;5464;80;0,7;29799;437
2021-U35;16-19;3564;39;0,6;19386;213
2021-U35;20-39;4056;46;2,0;119483;1351
2021-U35;40-64;3728;29;1,6;140977;1093
2021-U35;65-79;1425;12;1,5;25652;209
2021-U35;80+;1091;14;5,0;6292;83
2021-U36;00-02;2123;33;1,6;3931;61
2021-U36;03-05;4713;65;1,1;8821;121
2021-U36;06-11;6673;163;0,3;24599;602
2021-U36;12-15;6949;85;0,4;18962;231
2021-U36;16-19;5893;58;0,0;16038;158
2021-U36;20-39;6791;71;2,9;100080;1048
2021-U36;40-64;6353;40;3,0;120135;755
2021-U36;65-79;2722;20;3,1;24532;184
2021-U36;80+;2261;24;7,6;6541;70
2021-U37;00-02;1467;17;1,1;2715;31
2021-U37;03-05;3509;33;0,0;6568;61
2021-U37;06-11;5274;122;0,5;19443;450
2021-U37;12-15;4949;61;0,0;13506;166
2021-U37;16-19;4455;29;0,0;12125;79
2021-U37;20-39;5382;46;1,4;79307;682
2021-U37;40-64;5319;27;1,6;100577;519
2021-U37;65-79;2454;15;1,9;22116;138
2021-U37;80+;1829;18;6,6;5293;51
2021-U38;00-02;1384;17;0,5;2563;32
2021-U38;03-05;3545;40;0,5;6636;75
2021-U38;06-11;5472;140;0,3;20170;516
2021-U38;12-15;4316;71;0,0;11778;195
2021-U38;16-19;3696;36;0,4;10058;99
2021-U38;20-39;4640;47;1,0;68372;688
2021-U38;40-64;4983;32;1,1;94217;612
2021-U38;65-79;2354;22;3,0;21217;199
2021-U38;80+;1819;27;9,3;5262;79
2021-U39;00-02;1198;23;0,5;2217;43
2021-U39;03-05;3182;43;0,0;5955;81
2021-U39;06-11;6130;181;0,0;22597;667
2021-U39;12-15;4562;71;0,4;12449;193
2021-U39;16-19;3812;42;0,4;10373;113
2021-U39;20-39;4448;57;1,4;65548;835
2021-U39;40-64;5069;43;1,2;95844;814
2021-U39;65-79;2512;24;2,9;22642;212
2021-U39;80+;1926;19;4,5;5572;56
2021-U40;00-02;1260;32;1,1;2339;60
2021-U40;03-05;3756;69;0,0;7029;130
2021-U40;06-11;7601;241;0,0;27999;889
2021-U40;12-15;5453;93;0,7;14881;254
2021-U40;16-19;4337;57;1,5;11859;156
2021-U40;20-39;4781;74;2,1;70657;1098
2021-U40;40-64;5489;57;1,5;103776;1072
2021-U40;65-79;2545;34;2,2;22955;303
2021-U40;80+;1919;29;8,6;5565;85
2021-U41;00-02;1328;27;1,1;2465;50
2021-U41;03-05;4387;72;0,0;8210;135
2021-U41;06-11;11527;269;0,3;42460;990
2021-U41;12-15;10357;99;0,0;28262;271
2021-U41;16-19;7317;69;0,7;20006;188
2021-U41;20-39;6444;94;2,2;95232;1382
2021-U41;40-64;7344;78;2,6;138843;1470
2021-U41;65-79;3068;50;5,4;27666;447
2021-U41;80+;2248;35;10,0;6516;102
2021-U42;00-02;1538;51;2,2;2854;94
2021-U42;03-05;4865;139;0,5;9105;261
2021-U42;06-11;9816;311;0,8;36157;1146
2021-U42;12-15;9025;166;0,4;24628;453
2021-U42;16-19;7126;113;1,5;19485;310
2021-U42;20-39;7721;170;3,4;114109;2512
2021-U42;40-64;9981;145;3,2;188706;2748
2021-U42;65-79;6550;108;6,8;59067;970
2021-U42;80+;4342;77;22,4;12588;224
2021-U43;00-02;2074;86;2,2;3849;160
2021-U43;03-05;7291;190;0,5;13646;356
2021-U43;06-11;12496;450;0,5;46030;1656
2021-U43;12-15;11727;229;1,1;32001;626
2021-U43;16-19;9890;206;1,5;27042;562
2021-U43;20-39;10912;232;3,9;161271;3425
2021-U43;40-64;13508;194;4,4;255379;3670
2021-U43;65-79;8201;136;10,2;73957;1230
2021-U43;80+;5411;91;19,0;15688;264
2021-U44;00-02;3449;104;6,0;6326;190
2021-U44;03-05;13731;280;0,5;25699;524
2021-U44;06-11;23963;947;2,2;88228;3486
2021-U44;12-15;17732;310;1,1;48332;846
2021-U44;16-19;12649;221;0,4;34660;605
2021-U44;20-39;13790;279;5,3;204290;4129
2021-U44;40-64;17148;242;5,7;324172;4569
2021-U44;65-79;9163;153;10,6;82744;1383
2021-U44;80+;5908;107;24,7;17251;311
2021-U45;00-02;4654;159;4,9;8538;291
2021-U45;03-05;17943;389;0,0;33583;729
2021-U45;06-11;30919;1339;1,6;113838;4929
2021-U45;12-15;22934;468;1,1;62512;1277
2021-U45;16-19;15671;304;1,8;42940;834
2021-U45;20-39;17850;402;4,6;264434;5956
2021-U45;40-64;22247;350;6,3;420570;6618
2021-U45;65-79;11488;203;16,4;103743;1830
2021-U45;80+;6671;130;33,6;19480;381
2021-U46;00-02;5615;200;10,9;10301;366
2021-U46;03-05;20924;528;1,6;39162;989
2021-U46;06-11;34986;1572;4,1;128811;5789
2021-U46;12-15;26072;559;0,7;71067;1524
2021-U46;16-19;16116;412;0,7;44160;1129
2021-U46;20-39;19545;496;6,1;289544;7350
2021-U46;40-64;24023;442;8,0;454145;8357
2021-U46;65-79;10906;253;16,5;98487;2285
2021-U46;80+;6287;155;43,8;18359;454
2021-U47;00-02;5913;205;8,7;10846;376
2021-U47;03-05;22385;560;2,1;41898;1049
2021-U47;06-11;36097;1683;2,4;132902;6198
2021-U47;12-15;25651;542;1,1;69919;1478
2021-U47;16-19;17206;411;1,5;47144;1127
2021-U47;20-39;20814;490;7,8;308333;7255
2021-U47;40-64;26228;463;8,3;495825;8758
2021-U47;65-79;11512;275;17,4;103954;2487
2021-U47;80+;6563;141;34,2;19163;411
2021-U48;00-02;6222;287;10,4;11414;526
2021-U48;03-05;23055;643;2,7;43152;1204
2021-U48;06-11;36015;1970;2,7;132600;7252
2021-U48;12-15;25662;606;2,6;69949;1651
2021-U48;16-19;17881;559;3,3;48994;1533
2021-U48;20-39;22631;604;7,8;335250;8944
2021-U48;40-64;27086;560;9,4;512060;10579
2021-U48;65-79;11397;282;19,5;102915;2542
2021-U48;80+;6757;126;34,6;19731;368
2021-U49;00-02;8188;378;11,3;15219;703
2021-U49;03-05;28930;978;2,7;54139;1831
2021-U49;06-11;39583;2592;5,4;145733;9544
2021-U49;12-15;29694;877;0,7;80848;2389
2021-U49;16-19;21772;882;2,2;59743;2420
2021-U49;20-39;25676;917;9,4;381536;13631
2021-U49;40-64;28742;782;11,0;543208;14785
2021-U49;65-79;11230;302;19,4;101405;2730
2021-U49;80+;7421;143;37,7;21638;417
2021-U50;00-02;10340;521;18,3;19218;968
2021-U50;03-05;33845;1251;1,6;63336;2341
2021-U50;06-11;39243;2779;6,2;144479;10230
2021-U50;12-15;31936;1400;6,2;86953;3811
2021-U50;16-19;28178;2010;6,9;77323;5515
2021-U50;20-39;29883;1738;12,4;444059;25824
2021-U50;40-64;29548;1245;12,9;558446;23536
2021-U50;65-79;11632;338;19,4;105036;3051
2021-U50;80+;8291;182;37,4;24176;530
2021-U51;00-02;8632;568;21,5;16044;1055
2021-U51;03-05;24594;1199;2,7;46024;2244
2021-U51;06-11;22093;1552;3,3;81341;5715
2021-U51;12-15;22848;1428;2,9;62208;3889
2021-U51;16-19;25129;2454;6,2;68955;6734
2021-U51;20-39;25860;1977;13,3;384278;29383
2021-U51;40-64;25161;1430;14,7;475533;27027
2021-U51;65-79;11754;357;20,6;106137;3225
2021-U51;80+;9267;216;40,8;27021;631
2021-U52;00-02;5742;952;42,5;10672;1770
2021-U52;03-05;15396;1852;4,8;28811;3465
2021-U52;06-11;15674;2257;4,6;57708;8310
2021-U52;12-15;18524;2423;3,7;50435;6597
2021-U52;16-19;21805;3452;6,9;59835;9472
2021-U52;20-39;22733;3199;21,3;337806;47538
2021-U52;40-64;23153;2085;17,9;437576;39410
2021-U52;65-79;11909;870;24,1;107541;7859
2021-U52;80+;11099;668;59,3;32365;1949
2022-U01;00-02;6847;1393;38,6;12761;2597
2022-U01;03-05;19210;2728;6,4;35930;5102
2022-U01;06-11;19610;2636;6,0;72144;9696
2022-U01;12-15;25196;3307;8,4;68609;9006
2022-U01;16-19;34790;6152;13,5;95491;16887
2022-U01;20-39;25849;3578;21,2;384695;53251
2022-U01;40-64;26305;1792;16,6;497043;33866
2022-U01;65-79;10550;537;24,2;95312;4853
2022-U01;80+;11157;481;58,6;32554;1403
2022-U02;00-02;12240;2641;57,4;22813;4922
2022-U02;03-05;33238;6259;20,9;62168;11706
2022-U02;06-11;29004;6773;10,9;106705;24918
2022-U02;12-15;31140;6749;10,3;84795;18378
2022-U02;16-19;28715;6288;17,1;78817;17259
2022-U02;20-39;24975;3765;26,8;371694;56033
2022-U02;40-64;27080;2323;17,9;511689;43892
2022-U02;65-79;9846;552;23,2;88957;4984
2022-U02;80+;10368;433;57,9;30254;1262
2022-U03;00-02;14576;3541;84,2;27168;6599
2022-U03;03-05;37347;8556;30,5;69854;16004
2022-U03;06-11;37861;11029;16,6;139289;40575
2022-U03;12-15;40988;11891;17,6;111613;32380
2022-U03;16-19;31774;9086;23,3;87212;24938
2022-U03;20-39;27238;5373;33,9;405366;79967
2022-U03;40-64;31208;3953;18,6;589700;74686
2022-U03;65-79;10826;917;25,2;97810;8285
2022-U03;80+;11141;564;68,9;32507;1647
2022-U04;00-02;11463;3272;80,5;21365;6099
2022-U04;03-05;27692;7680;28,9;51795;14364
2022-U04;06-11;29893;10538;18,8;109973;38767
2022-U04;12-15;32763;12178;23,1;89216;33162
2022-U04;16-19;23610;7863;21,5;64804;21582
2022-U04;20-39;23359;5561;36,6;347649;82760
2022-U04;40-64;27044;4586;26,8;511011;86656
2022-U04;65-79;10356;1356;30,1;93565;12251
2022-U04;80+;11216;882;86,7;32726;2574
2022-U05;00-02;9637;3331;97,6;17965;6210
2022-U05;03-05;22085;7386;24,6;41343;13827
2022-U05;06-11;21907;8748;18,8;80395;32105
2022-U05;12-15;22888;10359;23,1;62392;28239
2022-U05;16-19;16115;6673;28,1;44179;18293
2022-U05;20-39;19715;5666;39,3;293422;84326
2022-U05;40-64;23128;4859;31,1;436924;91791
2022-U05;65-79;10230;1918;48,0;92462;17335
2022-U05;80+;11714;1247;122,6;34202;3641
2022-U06;00-02;8611;3202;123,9;16053;5969
2022-U06;03-05;17114;5952;19,8;32037;11142
2022-U06;06-11;15527;6051;15,8;56980;22205
2022-U06;12-15;16647;7084;24,9;45380;19312
2022-U06;16-19;16017;7547;18,6;43911;20689
2022-U06;20-39;20420;7074;43,1;303920;105291
2022-U06;40-64;21457;5324;35,5;405347;100574
2022-U06;65-79;11048;2759;62,3;99852;24940
2022-U06;80+;12492;1806;163,0;36474;5273
2022-U07;00-02;5541;2127;115,9;10330;3965
2022-U07;03-05;9580;3177;17,6;17933;5947
2022-U07;06-11;8537;2864;7,1;31330;10510
2022-U07;12-15;8607;3522;10,3;23463;9602
2022-U07;16-19;9252;3874;16,8;25364;10621
2022-U07;20-39;14807;4961;39,8;220381;73833
2022-U07;40-64;16861;4657;34,4;318527;87968
2022-U07;65-79;10704;3254;80,5;96744;29408
2022-U07;80+;12210;2346;198,3;35649;6849
2022-U08;00-02;3315;1209;64,9;6180;2254
2022-U08;03-05;5181;1611;10,7;9699;3016
2022-U08;06-11;4665;1376;4,6;17120;5049
2022-U08;12-15;5084;1799;11,4;13859;4905
2022-U08;16-19;5914;2009;11,3;16213;5507
2022-U08;20-39;9626;2810;29,6;143260;41828
2022-U08;40-64;12436;3123;30,1;234925;59005
2022-U08;65-79;8950;2666;81,3;80895;24095
2022-U08;80+;10498;2107;199,7;30651;6151
2022-U09;00-02;1153;390;26,3;4296;1453
2022-U09;03-05;1817;499;4,3;6807;1868
2022-U09;06-11;1920;489;2,3;14072;3581
2022-U09;12-15;1957;618;3,1;10677;3374
2022-U09;16-19;2249;637;5,3;12332;3496
2022-U09;20-39;3375;900;10,5;100604;26837
2022-U09;40-64;4709;1160;12,7;177903;43817
2022-U09;65-79;3758;1145;37,7;67988;20709
2022-U09;80+;4467;910;91,4;26136;5326
2022-U10;00-02;713;202;14,2;2657;751
2022-U10;03-05;1159;221;2,1;4341;826
2022-U10;06-11;1518;288;1,8;11126;2109
2022-U10;12-15;1785;406;3,5;9737;2215
2022-U10;16-19;2000;423;3,1;10971;2319
2022-U10;20-39;2809;634;7,1;83726;18887
2022-U10;40-64;3731;862;10,2;140952;32568
2022-U10;65-79;3169;905;31,7;57332;16365
2022-U10;80+;3856;740;82,6;22556;4329
2022-U11;00-02;390;88;9,9;1453;326
2022-U11;03-05;623;84;1,3;2332;315
2022-U11;06-11;896;115;0,8;6563;846
2022-U11;12-15;1115;185;2,2;6084;1008
2022-U11;16-19;1171;190;3,5;6423;1041
2022-U11;20-39;1881;358;5,6;56064;10667
2022-U11;40-64;2530;563;9,2;95569;21284
2022-U11;65-79;2357;662;25,4;42648;11981
2022-U11;80+;3159;570;74,9;18481;3335
2022-U12;00-02;315;62;9,1;1174;231
2022-U12;03-05;465;49;0,5;1742;185
2022-U12;06-11;647;62;0,4;4744;453
2022-U12;12-15;723;105;1,8;3945;571
2022-U12;16-19;825;108;1,3;4525;593
2022-U12;20-39;1405;240;3,7;41869;7162
2022-U12;40-64;1920;393;7,1;72521;14835
2022-U12;65-79;1871;484;23,1;33840;8754
2022-U12;80+;2560;415;58,3;14978;2429
2022-U13;00-02;242;34;5,9;903;125
2022-U13;03-05;316;24;0,0;1185;89
2022-U13;06-11;421;35;0,3;3086;258
2022-U13;12-15;492;52;0,4;2685;284
2022-U13;16-19;627;65;0,5;3440;359
2022-U13;20-39;1041;141;3,0;31046;4213
2022-U13;40-64;1456;264;5,4;55021;9955
2022-U13;65-79;1460;324;20,0;26418;5870
2022-U13;80+;2071;273;49,6;12118;1599
2022-U14;00-02;425;43;9,6;796;81
2022-U14;03-05;598;44;2,7;1118;82
2022-U14;06-11;852;50;0,8;3122;183
2022-U14;12-15;1096;89;0,4;2991;243
2022-U14;16-19;1253;95;2,2;3438;262
2022-U14;20-39;1797;217;5,6;26868;3245
2022-U14;40-64;2387;404;9,3;45082;7638
2022-U14;65-79;2422;518;33,6;21914;4688
2022-U14;80+;3589;453;85,3;10521;1328
2022-U15;00-02;327;35;9,1;611;66
2022-U15;03-05;433;30;0,5;810;57
2022-U15;06-11;456;34;0,3;1669;123
2022-U15;12-15;551;56;0,0;1504;153
2022-U15;16-19;588;59;0,4;1615;163
2022-U15;20-39;1214;156;4,5;18153;2332
2022-U15;40-64;1489;289;6,2;28131;5451
2022-U15;65-79;1733;373;26,7;15678;3375
2022-U15;80+;2808;330;79,8;8231;967
2022-U16;00-02;243;25;6,4;455;47
2022-U16;03-05;260;28;2,1;486;52
2022-U16;06-11;298;31;0,0;1091;115
2022-U16;12-15;474;58;0,0;1294;157
2022-U16;16-19;664;66;1,5;1823;182
2022-U16;20-39;1208;150;3,5;18061;2243
2022-U16;40-64;1592;257;6,3;30076;4847
2022-U16;65-79;1814;279;20,2;16412;2528
2022-U16;80+;2823;294;72,0;8276;861
2022-U17;00-02;228;24;3,2;427;45
2022-U17;03-05;232;16;0,5;433;29
2022-U17;06-11;265;20;0,0;971;72
2022-U17;12-15;387;35;0,0;1056;96
2022-U17;16-19;491;40;0,4;1348;111
2022-U17;20-39;1032;89;2,3;15431;1326
2022-U17;40-64;1304;157;4,4;24632;2956
2022-U17;65-79;1536;201;19,6;13898;1815
2022-U17;80+;2359;194;52,9;6914;568
2022-U18;00-02;228;22;5,4;425;41
2022-U18;03-05;211;14;0,0;395;26
2022-U18;06-11;260;19;0,3;954;70
2022-U18;12-15;350;24;0,7;956;66
2022-U18;16-19;460;30;0,0;1261;82
2022-U18;20-39;854;68;1,5;12780;1020
2022-U18;40-64;1130;136;4,5;21337;2577
2022-U18;65-79;1214;167;16,8;10988;1512
2022-U18;80+;1774;135;32,2;5227;397
2022-U19;00-02;198;17;3,2;369;31
2022-U19;03-05;199;6;0,0;372;12
2022-U19;06-11;252;14;0,3;922;51
2022-U19;12-15;416;20;0,7;1136;54
2022-U19;16-19;443;27;0,4;1215;73
2022-U19;20-39;748;60;1,3;11193;894
2022-U19;40-64;953;111;2,5;17997;2097
2022-U19;65-79;987;133;11,9;8935;1201
2022-U19;80+;1428;109;31,6;4207;321
2022-U20;00-02;192;10;2,1;358;18
2022-U20;03-05;173;7;0,0;323;14
2022-U20;06-11;219;10;0,3;804;38
2022-U20;12-15;367;30;0,0;1002;81
2022-U20;16-19;336;15;1,1;922;42
2022-U20;20-39;678;47;1,1;10153;703
2022-U20;40-64;900;102;2,8;17006;1918
2022-U20;65-79;903;107;10,7;8179;973
2022-U20;80+;1284;90;25,5;3782;264
2022-U21;00-02;152;8;1,1;284;15
2022-U21;03-05;132;5;0,5;248;10
2022-U21;06-11;185;9;0,0;677;34
2022-U21;12-15;375;16;0,4;1023;45
2022-U21;16-19;271;13;0,4;743;37
2022-U21;20-39;534;40;0,9;7999;604
2022-U21;40-64;679;76;2,0;12832;1441
2022-U21;65-79;729;92;9,2;6596;834
2022-U21;80+;1085;70;20,0;3196;205
2022-U22;00-02;163;8;3,8;304;14
2022-U22;03-05;136;5;0,0;254;10
2022-U22;06-11;174;11;0,0;637;39
2022-U22;12-15;307;9;0,0;837;25
2022-U22;16-19;245;16;0,4;671;43
2022-U22;20-39;534;45;1,3;7994;677
2022-U22;40-64;695;94;1,9;13120;1769
2022-U22;65-79;705;103;7,7;6381;935
2022-U22;80+;948;75;22,7;2794;220
2022-U23;00-02;181;15;3,2;337;28
2022-U23;03-05;169;11;0,0;318;20
2022-U23;06-11;218;16;0,0;802;59
2022-U23;12-15;333;22;0,0;911;60
2022-U23;16-19;278;29;0,7;763;80
2022-U23;20-39;576;84;1,3;8642;1259
2022-U23;40-64;803;143;2,4;15174;2707
2022-U23;65-79;788;137;8,7;7139;1244
2022-U23;80+;917;84;22,6;2715;248
2022-U24;00-02;230;25;6,4;428;47
2022-U24;03-05;250;14;0,5;470;27
2022-U24;06-11;333;15;0,5;1223;56
2022-U24;12-15;428;41;0,4;1170;112
2022-U24;16-19;329;44;1,1;905;122
2022-U24;20-39;727;123;1,3;10907;1840
2022-U24;40-64;943;201;3,4;17827;3803
2022-U24;65-79;947;195;13,2;8584;1767
2022-U24;80+;1231;123;30,4;3645;363
